CD_SETOR,CD_MUN,NM_MUN,AREA_KM2,count_total,count_tag_pois,count_name_pois,count_drone_named,sample_poi_names
420005105000001,4200051,Abdon Batista,2.017785190718116,0,0,0,0,
420005105000002,4200051,Abdon Batista,35.34288328986604,0,0,0,0,
420005105000003,4200051,Abdon Batista,25.889345925502667,0,0,0,0,
420005105000004,4200051,Abdon Batista,68.52280292275383,0,0,0,0,
420005105000006,4200051,Abdon Batista,36.883624611466416,0,0,0,0,
420005105000010,4200051,Abdon Batista,46.45154402124105,0,0,0,0,
420005105000011,4200051,Abdon Batista,0.341072681699678,0,0,0,0,
420005105000012,4200051,Abdon Batista,21.97494955416778,0,0,0,0,
420005105000013,4200051,Abdon Batista,0.093061829580718,0,0,0,0,
420010105000004,4200101,Abelardo Luz,0.340632968568352,0,0,0,0,
420010105000005,4200101,Abelardo Luz,0.570001431819873,0,0,0,0,
420010105000006,4200101,Abelardo Luz,1.994819290185256,1,1,0,0,Hotel Quedas
420010105000008,4200101,Abelardo Luz,0.144086360920577,1,1,0,0,Turis Hotel Abelardo Luz
420010105000009,4200101,Abelardo Luz,0.898832542289237,0,0,0,0,
420010105000010,4200101,Abelardo Luz,0.277699192756818,0,0,0,0,
420010105000011,4200101,Abelardo Luz,0.511526982307006,0,0,0,0,
420010105000012,4200101,Abelardo Luz,0.586278383394627,0,0,0,0,
420010105000013,4200101,Abelardo Luz,0.795717998380541,0,0,0,0,
420010105000014,4200101,Abelardo Luz,0.550864654422719,0,0,0,0,
420010105000015,4200101,Abelardo Luz,0.481218198171637,0,0,0,0,
420010105000017,4200101,Abelardo Luz,66.26787540797694,0,0,0,0,
420010105000019,4200101,Abelardo Luz,53.494224665414265,0,0,0,0,
420010105000020,4200101,Abelardo Luz,27.319419629722006,0,0,0,0,
420010105000022,4200101,Abelardo Luz,14.320558174392215,0,0,0,0,
420010105000023,4200101,Abelardo Luz,13.227150914791794,0,0,0,0,
420010105000024,4200101,Abelardo Luz,9.467713192085839,0,0,0,0,
420010105000025,4200101,Abelardo Luz,31.24667791395093,0,0,0,0,
420010105000027,4200101,Abelardo Luz,19.42650026344627,0,0,0,0,
420010105000028,4200101,Abelardo Luz,9.978711656432877,0,0,0,0,
420010105000029,4200101,Abelardo Luz,12.48321236450566,0,0,0,0,
420010105000030,4200101,Abelardo Luz,6.866387435056278,0,0,0,0,
420010105000031,4200101,Abelardo Luz,8.032445086448904,0,0,0,0,
420010105000032,4200101,Abelardo Luz,12.906240027766323,0,0,0,0,
420010105000033,4200101,Abelardo Luz,8.007975166326654,0,0,0,0,
420010105000034,4200101,Abelardo Luz,17.259259659190967,0,0,0,0,
420010105000035,4200101,Abelardo Luz,14.616159768956605,0,0,0,0,
420010105000036,4200101,Abelardo Luz,21.204198387883228,0,0,0,0,
420010105000037,4200101,Abelardo Luz,24.29124393099264,0,0,0,0,
420010105000038,4200101,Abelardo Luz,15.195801782197396,0,0,0,0,
420010105000039,4200101,Abelardo Luz,67.74026017422996,0,0,0,0,
420010105000041,4200101,Abelardo Luz,23.985505209960472,0,0,0,0,
420010105000042,4200101,Abelardo Luz,10.01352656224542,0,0,0,0,
420010105000043,4200101,Abelardo Luz,32.86966413678048,0,0,0,0,
420010105000045,4200101,Abelardo Luz,0.269901215078869,0,0,0,0,
420010105000048,4200101,Abelardo Luz,0.239734688498324,0,0,0,0,
420010105000050,4200101,Abelardo Luz,0.183647545917502,0,0,0,0,
420010105000051,4200101,Abelardo Luz,0.195647214770881,0,0,0,0,
420010105000055,4200101,Abelardo Luz,1.66518452783072,0,0,0,0,
420010105000056,4200101,Abelardo Luz,0.238765779596862,0,0,0,0,
420010105000058,4200101,Abelardo Luz,0.110159341853928,0,0,0,0,
420010105000059,4200101,Abelardo Luz,0.741590608872889,0,0,0,0,
420010105000060,4200101,Abelardo Luz,0.09576618903658,0,0,0,0,
420010105000061,4200101,Abelardo Luz,0.443625576317481,0,0,0,0,
420010105000062,4200101,Abelardo Luz,0.42830611299308,0,0,0,0,
420010105000063,4200101,Abelardo Luz,0.089552857375795,0,0,0,0,
420010105000064,4200101,Abelardo Luz,0.087131966122716,0,0,0,0,
420010105000065,4200101,Abelardo Luz,19.194313065174526,0,0,0,0,
420010105000067,4200101,Abelardo Luz,0.984910233908726,0,0,0,0,
420010105000068,4200101,Abelardo Luz,80.80671219525517,0,0,0,0,
420010105000069,4200101,Abelardo Luz,118.62609711318328,0,0,0,0,
420010105000070,4200101,Abelardo Luz,0.363559382817744,0,0,0,0,
420010105000071,4200101,Abelardo Luz,0.410961942074506,0,0,0,0,
420010105000072,4200101,Abelardo Luz,1.27660870164365,0,0,0,0,
420010105000073,4200101,Abelardo Luz,40.168650509367176,0,0,0,0,
420010105000074,4200101,Abelardo Luz,0.390658788438296,0,0,0,0,
420010105000075,4200101,Abelardo Luz,144.75534454791236,0,0,0,0,
420010105000076,4200101,Abelardo Luz,0.354395499293835,0,0,0,0,
420010105000077,4200101,Abelardo Luz,0.158938084585106,0,0,0,0,
420010105000078,4200101,Abelardo Luz,0.610823268890401,0,0,0,0,
420010105000079,4200101,Abelardo Luz,0.234223484335249,0,0,0,0,
420010105000080,4200101,Abelardo Luz,0.436668597926811,0,0,0,0,
420010105000081,4200101,Abelardo Luz,0.380403719793635,0,0,0,0,
420010105000082,4200101,Abelardo Luz,12.457558545239683,0,0,0,0,
420010105000083,4200101,Abelardo Luz,0.219335290647872,0,0,0,0,
420020005000001,4200200,Agrolândia,0.467513299333304,1,1,0,0,Notebooks Alto Vale
420020005000003,4200200,Agrolândia,0.736852212387419,0,0,0,0,
420020005000004,4200200,Agrolândia,0.452363170135752,0,0,0,0,
420020005000012,4200200,Agrolândia,39.309470478004805,0,0,0,0,
420020005000013,4200200,Agrolândia,10.221132863177239,0,0,0,0,
420020005000014,4200200,Agrolândia,18.919804899359843,0,0,0,0,
420020005000015,4200200,Agrolândia,30.02486702993284,0,0,0,0,
420020005000016,4200200,Agrolândia,53.100558232440456,0,0,0,0,
420020005000017,4200200,Agrolândia,28.415365810623204,0,0,0,0,
420020005000018,4200200,Agrolândia,0.465099748851558,0,0,0,0,
420020005000020,4200200,Agrolândia,0.377967321804244,0,0,0,0,
420020005000021,4200200,Agrolândia,13.18360597057203,0,0,0,0,
420020005000023,4200200,Agrolândia,0.205650946251325,0,0,0,0,
420020005000027,4200200,Agrolândia,0.328710679574394,0,0,0,0,
420020005000030,4200200,Agrolândia,1.307969476954225,0,0,0,0,
420020005000031,4200200,Agrolândia,0.74329600528608,0,0,0,0,
420020005000032,4200200,Agrolândia,1.237851473951364,0,0,0,0,
420020005000035,4200200,Agrolândia,0.709759270587381,0,0,0,0,
420020005000036,4200200,Agrolândia,1.061145265729365,0,0,0,0,
420020005000037,4200200,Agrolândia,1.738620592648549,0,0,0,0,
420020005000038,4200200,Agrolândia,0.891389008920511,0,0,0,0,
420020005000039,4200200,Agrolândia,0.87740549911214,0,0,0,0,
420020005000040,4200200,Agrolândia,0.40358331671815,0,0,0,0,
420020005000041,4200200,Agrolândia,1.635504575983772,0,0,0,0,
420030905000009,4200309,Agronômica,16.00889374689652,0,0,0,0,
420030905000010,4200309,Agronômica,17.54208845474002,0,0,0,0,
420030905000011,4200309,Agronômica,15.863030468947295,0,0,0,0,
420030905000012,4200309,Agronômica,18.06250373168556,0,0,0,0,
420030905000013,4200309,Agronômica,0.167158323834779,0,0,0,0,
420030905000031,4200309,Agronômica,0.112963030453582,0,0,0,0,
420030905000033,4200309,Agronômica,15.1878753181403,0,0,0,0,
420030905000034,4200309,Agronômica,0.02877911642327,0,0,0,0,
420030905000035,4200309,Agronômica,0.014658983587402,0,0,0,0,
420030905000042,4200309,Agronômica,0.339344650838447,0,0,0,0,
420030905000044,4200309,Agronômica,0.050140554828703,0,0,0,0,
420030905000045,4200309,Agronômica,17.51190750205449,0,0,0,0,
420030905000046,4200309,Agronômica,0.508636556575604,0,0,0,0,
420030905000047,4200309,Agronômica,0.442114690951077,1,1,0,0,Tratocar
420030905000049,4200309,Agronômica,0.278799168728382,0,0,0,0,
420030905000050,4200309,Agronômica,0.404682907357711,0,0,0,0,
420030905000054,4200309,Agronômica,0.656868621764262,1,1,0,0,Auto Elétrica do Polenta
420030905000058,4200309,Agronômica,0.4369065624824,0,0,0,0,
420030905000059,4200309,Agronômica,0.31715596284475,0,0,0,0,
420030905000060,4200309,Agronômica,0.149170994928065,0,0,0,0,
420030905000061,4200309,Agronômica,0.169135512167252,0,0,0,0,
420030905000062,4200309,Agronômica,24.57378305330066,0,0,0,0,
420030905000063,4200309,Agronômica,0.94755796291208,0,0,0,0,
420040805000004,4200408,Água Doce,0.328635711177935,0,0,0,0,
420040805000005,4200408,Água Doce,64.22635324952859,0,0,0,0,
420040805000006,4200408,Água Doce,88.15511880810563,0,0,0,0,
420040805000007,4200408,Água Doce,13.935569180637781,0,0,0,0,
420040805000008,4200408,Água Doce,58.63927139204298,0,0,0,0,
420040805000009,4200408,Água Doce,61.16169933530518,0,0,0,0,
420040805000010,4200408,Água Doce,0.199288346712646,0,0,0,0,
420040805000011,4200408,Água Doce,0.46080739761668,0,0,0,0,
420040805000012,4200408,Água Doce,0.522810812908537,0,0,0,0,
420040805000013,4200408,Água Doce,0.109398655322837,0,0,0,0,
420040805000014,4200408,Água Doce,0.210644569120184,0,0,0,0,
420040805000015,4200408,Água Doce,0.291597491691333,0,0,0,0,
420040805000016,4200408,Água Doce,0.140222826565574,0,0,0,0,
420040805000017,4200408,Água Doce,0.277838233932434,0,0,0,0,
420040810000001,4200408,Água Doce,0.204574605180168,0,0,0,0,
420040810000002,4200408,Água Doce,162.7014741911657,0,0,0,0,
420040810000003,4200408,Água Doce,257.3780795912804,0,0,0,0,
420040810000004,4200408,Água Doce,283.987019474666,0,0,0,0,
420040810000005,4200408,Água Doce,237.8875622100657,1,1,0,0,Limberger Auto Peças
420040810000006,4200408,Água Doce,88.31863225950248,0,0,0,0,
420050705000001,4200507,Águas de Chapecó,0.472214681989266,0,0,0,0,
420050705000002,4200507,Águas de Chapecó,0.8019265471396,0,0,0,0,
420050705000003,4200507,Águas de Chapecó,0.395591199118438,0,0,0,0,
420050705000004,4200507,Águas de Chapecó,0.29836566160103,0,0,0,0,
420050705000006,4200507,Águas de Chapecó,0.437462376660291,1,1,0,0,Hotel Taglian
420050705000007,4200507,Águas de Chapecó,35.32828161842679,0,0,0,0,
420050705000008,4200507,Águas de Chapecó,30.155512937818557,0,0,0,0,
420050705000009,4200507,Águas de Chapecó,20.724149412652903,0,0,0,0,
420050705000010,4200507,Águas de Chapecó,16.346867238787393,0,0,0,0,
420050705000011,4200507,Águas de Chapecó,19.46987486164559,0,0,0,0,
420050705000012,4200507,Águas de Chapecó,13.68424213776626,0,0,0,0,
420050705000013,4200507,Águas de Chapecó,0.028822062922183,0,0,0,0,
420050705000014,4200507,Águas de Chapecó,1.314723813060231,0,0,0,0,
420050705000015,4200507,Águas de Chapecó,0.053220749503746,0,0,0,0,
420055605000001,4200556,Águas Frias,0.253821058035046,0,0,0,0,
420055605000005,4200556,Águas Frias,16.314044351907803,0,0,0,0,
420055605000006,4200556,Águas Frias,9.170742767805926,0,0,0,0,
420055605000008,4200556,Águas Frias,0.107924228436481,0,0,0,0,
420055605000009,4200556,Águas Frias,0.224280573101345,0,0,0,0,
420055605000010,4200556,Águas Frias,0.535713621676266,0,0,0,0,
420055605000011,4200556,Águas Frias,24.140804546077927,0,0,0,0,
420055605000012,4200556,Águas Frias,0.519079089911228,0,0,0,0,
420055605000013,4200556,Águas Frias,12.412415775598735,0,0,0,0,
420055605000014,4200556,Águas Frias,0.362711910131403,0,0,0,0,
420055605000015,4200556,Águas Frias,12.401563981686133,0,0,0,0,
420055605000016,4200556,Águas Frias,0.18749363868275,0,0,0,0,
420060605000002,4200606,Águas Mornas,1.445880169805815,0,0,0,0,
420060605000004,4200606,Águas Mornas,43.36736618297291,0,0,0,0,
420060605000006,4200606,Águas Mornas,15.567319414623283,0,0,0,0,
420060605000007,4200606,Águas Mornas,2.38104505338475,0,0,0,0,
420060605000008,4200606,Águas Mornas,73.69705421859123,0,0,0,0,
420060605000009,4200606,Águas Mornas,78.14856101575359,0,0,0,0,
420060605000011,4200606,Águas Mornas,0.280081620017543,0,0,0,0,
420060605000012,4200606,Águas Mornas,28.441732699768938,0,0,0,0,
420060605000015,4200606,Águas Mornas,17.318939637608253,0,0,0,0,
420060605000016,4200606,Águas Mornas,6.399605486903638,0,0,0,0,
420060605000017,4200606,Águas Mornas,27.045620333677473,0,0,0,0,
420060605000018,4200606,Águas Mornas,0.548290415174921,0,0,0,0,
420060605000019,4200606,Águas Mornas,14.45999162783732,0,0,0,0,
