"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"2024"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Total";"Arroz (em casca)";"Maçã";"Milho (em grão)";"Soja (em grão)"
"MU";"2404853";"Itajá (RN)";"440";"-";"-";"200";"-"
"MU";"2404903";"Itaú (RN)";"1200";"-";"-";"400";"-"
"MU";"2405009";"Jaçanã (RN)";"2117";"-";"-";"800";"-"
"MU";"2405108";"Jandaíra (RN)";"1566";"-";"-";"400";"-"
"MU";"2405207";"Janduís (RN)";"460";"-";"-";"240";"-"
"MU";"2405306";"Januário Cicco (RN)";"1512";"-";"-";"200";"-"
"MU";"2405405";"Japi (RN)";"1143";"-";"-";"570";"-"
"MU";"2405504";"Jardim de Angicos (RN)";"837";"-";"-";"350";"-"
"MU";"2405603";"Jardim de Piranhas (RN)";"74";"-";"-";"50";"-"
"MU";"2405702";"Jardim do Seridó (RN)";"231";"-";"-";"120";"-"
"MU";"2405801";"João Câmara (RN)";"1385";"-";"-";"400";"-"
"MU";"2405900";"João Dias (RN)";"600";"-";"-";"400";"-"
"MU";"2406007";"José da Penha (RN)";"727";"5";"-";"470";"-"
"MU";"2406106";"Jucurutu (RN)";"255";"-";"-";"-";"-"
"MU";"2406155";"Jundiá (RN)";"500";"-";"-";"30";"-"
"MU";"2406205";"Lagoa d'Anta (RN)";"1486";"-";"-";"300";"-"
"MU";"2406304";"Lagoa de Pedras (RN)";"720";"-";"-";"100";"-"
"MU";"2406403";"Lagoa de Velhos (RN)";"258";"-";"-";"150";"-"
"MU";"2406502";"Lagoa Nova (RN)";"6433";"-";"-";"2000";"-"
"MU";"2406601";"Lagoa Salgada (RN)";"1457";"-";"-";"30";"-"
"MU";"2406700";"Lajes (RN)";"1090";"-";"-";"650";"-"
"MU";"2406809";"Lajes Pintadas (RN)";"1668";"-";"-";"700";"-"
"MU";"2406908";"Lucrécia (RN)";"435";"8";"-";"350";"-"
"MU";"2407005";"Luís Gomes (RN)";"266";"3";"-";"120";"-"
"MU";"2407104";"Macaíba (RN)";"7067";"-";"-";"1000";"-"
"MU";"2407203";"Macau (RN)";"561";"-";"-";"190";"-"
"MU";"2407252";"Major Sales (RN)";"446";"10";"-";"300";"-"
"MU";"2407302";"Marcelino Vieira (RN)";"1221";"-";"-";"800";"-"
"MU";"2407401";"Martins (RN)";"521";"1";"-";"230";"-"
"MU";"2407500";"Maxaranguape (RN)";"1745";"-";"-";"50";"-"
"MU";"2407609";"Messias Targino (RN)";"400";"-";"-";"200";"-"
"MU";"2407708";"Montanhas (RN)";"145";"-";"-";"30";"-"
"MU";"2407807";"Monte Alegre (RN)";"1354";"-";"-";"260";"-"
"MU";"2407906";"Monte das Gameleiras (RN)";"231";"-";"-";"100";"-"
"MU";"2408003";"Mossoró (RN)";"27049";"-";"-";"6000";"-"
"MU";"2408102";"Natal (RN)";"...";"...";"...";"...";"..."
"MU";"2408201";"Nísia Floresta (RN)";"2955";"-";"-";"1";"-"
"MU";"2408300";"Nova Cruz (RN)";"1056";"-";"-";"30";"-"
"MU";"2408409";"Olho d'Água do Borges (RN)";"1166";"-";"-";"550";"-"
"MU";"2408508";"Ouro Branco (RN)";"150";"1";"-";"30";"-"
"MU";"2408607";"Paraná (RN)";"757";"3";"-";"400";"-"
"MU";"2408706";"Paraú (RN)";"211";"-";"-";"100";"-"
"MU";"2408805";"Parazinho (RN)";"1452";"-";"-";"990";"-"
"MU";"2408904";"Parelhas (RN)";"327";"-";"-";"170";"-"
"MU";"2408953";"Rio do Fogo (RN)";"2359";"-";"-";"20";"-"
"MU";"2409100";"Passa e Fica (RN)";"713";"-";"-";"60";"-"
"MU";"2409209";"Passagem (RN)";"170";"-";"-";"60";"-"
"MU";"2409308";"Patu (RN)";"354";"-";"-";"150";"-"
"MU";"2409332";"Santa Maria (RN)";"790";"-";"-";"400";"-"
"MU";"2409407";"Pau dos Ferros (RN)";"2162";"1";"-";"1353";"-"
"MU";"2409506";"Pedra Grande (RN)";"865";"-";"-";"400";"-"
"MU";"2409605";"Pedra Preta (RN)";"555";"-";"-";"140";"-"
"MU";"2409704";"Pedro Avelino (RN)";"392";"-";"-";"180";"-"
"MU";"2409803";"Pedro Velho (RN)";"3020";"-";"-";"30";"-"
"MU";"2409902";"Pendências (RN)";"1457";"-";"-";"1000";"-"
"MU";"2410009";"Pilões (RN)";"236";"-";"-";"150";"-"
"MU";"2410108";"Poço Branco (RN)";"1714";"-";"-";"450";"-"
"MU";"2410207";"Portalegre (RN)";"374";"-";"-";"90";"-"
"MU";"2410256";"Porto do Mangue (RN)";"2012";"-";"-";"60";"-"
"MU";"2410306";"Serra Caiada (RN)";"317";"-";"-";"80";"-"
"MU";"2410405";"Pureza (RN)";"7353";"-";"-";"100";"-"
"MU";"2410504";"Rafael Fernandes (RN)";"501";"-";"-";"400";"-"
"MU";"2410603";"Rafael Godeiro (RN)";"577";"10";"-";"250";"-"
"MU";"2410702";"Riacho da Cruz (RN)";"287";"2";"-";"140";"-"
"MU";"2410801";"Riacho de Santana (RN)";"197";"-";"-";"150";"-"
"MU";"2410900";"Riachuelo (RN)";"767";"-";"-";"400";"-"
"MU";"2411007";"Rodolfo Fernandes (RN)";"582";"-";"-";"150";"-"
"MU";"2411056";"Tibau (RN)";"3208";"-";"-";"154";"-"
"MU";"2411106";"Ruy Barbosa (RN)";"521";"-";"-";"300";"-"
"MU";"2411205";"Santa Cruz (RN)";"2608";"-";"-";"1200";"-"
"MU";"2411403";"Santana do Matos (RN)";"2724";"-";"-";"1200";"-"
"MU";"2411429";"Santana do Seridó (RN)";"265";"-";"-";"126";"-"
"MU";"2411502";"Santo Antônio (RN)";"5312";"-";"-";"3000";"-"
"MU";"2411601";"São Bento do Norte (RN)";"256";"-";"-";"100";"-"
"MU";"2411700";"São Bento do Trairí (RN)";"1065";"-";"-";"580";"-"
"MU";"2411809";"São Fernando (RN)";"172";"-";"-";"80";"-"
"MU";"2411908";"São Francisco do Oeste (RN)";"359";"2";"-";"270";"-"
"MU";"2412005";"São Gonçalo do Amarante (RN)";"1709";"-";"-";"500";"-"
"MU";"2412104";"São João do Sabugi (RN)";"321";"12";"-";"100";"-"
"MU";"2412203";"São José de Mipibu (RN)";"4873";"-";"-";"70";"-"
"MU";"2412302";"São José do Campestre (RN)";"1784";"-";"-";"1200";"-"
"MU";"2412401";"São José do Seridó (RN)";"72";"-";"-";"10";"-"
"MU";"2412500";"São Miguel (RN)";"4181";"6";"-";"2400";"-"
"MU";"2412559";"São Miguel do Gostoso (RN)";"3004";"-";"-";"600";"-"
"MU";"2412609";"São Paulo do Potengi (RN)";"1675";"-";"-";"220";"-"
"MU";"2412708";"São Pedro (RN)";"904";"-";"-";"450";"-"
"MU";"2412807";"São Rafael (RN)";"52";"-";"-";"30";"-"
"MU";"2412906";"São Tomé (RN)";"1373";"-";"-";"800";"-"
"MU";"2413003";"São Vicente (RN)";"1222";"-";"-";"300";"-"
"MU";"2413102";"Senador Elói de Souza (RN)";"717";"-";"-";"350";"-"
"MU";"2413201";"Senador Georgino Avelino (RN)";"277";"-";"-";"40";"-"
"MU";"2413300";"Serra de São Bento (RN)";"1188";"-";"-";"600";"-"
"MU";"2413359";"Serra do Mel (RN)";"31300";"-";"-";"100";"-"
"MU";"2413409";"Serra Negra do Norte (RN)";"101";"4";"-";"20";"-"
"MU";"2413508";"Serrinha (RN)";"353";"-";"-";"30";"-"
"MU";"2413557";"Serrinha dos Pintos (RN)";"379";"-";"-";"200";"-"
"MU";"2413607";"Severiano Melo (RN)";"5150";"-";"-";"150";"-"
"MU";"2413706";"Sítio Novo (RN)";"389";"-";"-";"150";"-"
"MU";"2413805";"Taboleiro Grande (RN)";"311";"1";"-";"140";"-"
"MU";"2413904";"Taipu (RN)";"4862";"-";"-";"200";"-"
"MU";"2414001";"Tangará (RN)";"143";"-";"-";"50";"-"
"MU";"2414100";"Tenente Ananias (RN)";"178";"-";"-";"130";"-"
"MU";"2414159";"Tenente Laurentino Cruz (RN)";"3101";"-";"-";"1200";"-"
"MU";"2414209";"Tibau do Sul (RN)";"1723";"-";"-";"1";"-"
"MU";"2414308";"Timbaúba dos Batistas (RN)";"44";"-";"-";"-";"-"
"MU";"2414407";"Touros (RN)";"14356";"-";"-";"400";"-"
"MU";"2414456";"Triunfo Potiguar (RN)";"552";"-";"-";"220";"-"
"MU";"2414506";"Umarizal (RN)";"721";"-";"-";"350";"-"
"MU";"2414605";"Upanema (RN)";"2320";"-";"-";"500";"-"
"MU";"2414704";"Várzea (RN)";"160";"-";"-";"50";"-"
"MU";"2414753";"Venha-Ver (RN)";"1337";"-";"-";"800";"-"
"MU";"2414803";"Vera Cruz (RN)";"6930";"-";"-";"1200";"-"
"MU";"2414902";"Viçosa (RN)";"278";"-";"-";"153";"-"
"MU";"2415008";"Vila Flor (RN)";"341";"-";"-";"15";"-"
"MU";"2500106";"Água Branca (PB)";"1563";"5";"-";"800";"-"
"MU";"2500205";"Aguiar (PB)";"695";"15";"-";"420";"-"
"MU";"2500304";"Alagoa Grande (PB)";"7196";"-";"-";"2500";"-"
"MU";"2500403";"Alagoa Nova (PB)";"5776";"-";"-";"180";"-"
"MU";"2500502";"Alagoinha (PB)";"1253";"-";"-";"200";"-"
"MU";"2500536";"Alcantil (PB)";"644";"-";"-";"310";"-"
"MU";"2500577";"Algodão de Jandaíra (PB)";"205";"-";"-";"65";"-"
"MU";"2500601";"Alhandra (PB)";"3675";"-";"-";"-";"-"
"MU";"2500700";"São João do Rio do Peixe (PB)";"5548";"180";"-";"5000";"-"
"MU";"2500734";"Amparo (PB)";"359";"-";"-";"200";"-"
"MU";"2500775";"Aparecida (PB)";"627";"-";"-";"250";"-"
"MU";"2500809";"Araçagi (PB)";"4180";"-";"-";"500";"-"
"MU";"2500908";"Arara (PB)";"1874";"-";"-";"800";"-"
"MU";"2501005";"Araruna (PB)";"7499";"-";"-";"3000";"-"
"MU";"2501104";"Areia (PB)";"3186";"-";"-";"450";"-"
"MU";"2501153";"Areia de Baraúnas (PB)";"754";"-";"-";"400";"-"
"MU";"2501203";"Areial (PB)";"1200";"-";"-";"420";"-"
"MU";"2501302";"Aroeiras (PB)";"987";"-";"-";"350";"-"
"MU";"2501351";"Assunção (PB)";"542";"-";"-";"252";"-"
"MU";"2501401";"Baía da Traição (PB)";"2072";"-";"-";"5";"-"
"MU";"2501500";"Bananeiras (PB)";"3926";"-";"-";"600";"-"
"MU";"2501534";"Baraúna (PB)";"660";"-";"-";"340";"-"
"MU";"2501575";"Barra de Santana (PB)";"329";"-";"-";"250";"-"
"MU";"2501609";"Barra de Santa Rosa (PB)";"4390";"-";"-";"1450";"-"
"MU";"2501708";"Barra de São Miguel (PB)";"541";"-";"-";"120";"-"
"MU";"2501807";"Bayeux (PB)";"40";"-";"-";"-";"-"
"MU";"2501906";"Belém (PB)";"846";"-";"-";"250";"-"
"MU";"2502003";"Belém do Brejo do Cruz (PB)";"160";"-";"-";"100";"-"
"MU";"2502052";"Bernardino Batista (PB)";"629";"-";"-";"310";"-"
"MU";"2502102";"Boa Ventura (PB)";"617";"50";"-";"350";"-"
"MU";"2502151";"Boa Vista (PB)";"952";"-";"-";"580";"-"
"MU";"2502201";"Bom Jesus (PB)";"422";"-";"-";"200";"-"
"MU";"2502300";"Bom Sucesso (PB)";"702";"-";"-";"514";"-"
"MU";"2502409";"Bonito de Santa Fé (PB)";"1211";"20";"-";"600";"-"
"MU";"2502508";"Boqueirão (PB)";"1048";"-";"-";"410";"-"
"MU";"2502607";"Igaracy (PB)";"762";"30";"-";"460";"-"
"MU";"2502706";"Borborema (PB)";"986";"-";"-";"50";"-"
"MU";"2502805";"Brejo do Cruz (PB)";"397";"-";"-";"240";"-"
"MU";"2502904";"Brejo dos Santos (PB)";"120";"-";"-";"100";"-"
"MU";"2503001";"Caaporã (PB)";"4337";"-";"-";"-";"-"
"MU";"2503100";"Cabaceiras (PB)";"483";"-";"-";"120";"-"
"MU";"2503209";"Cabedelo (PB)";"...";"...";"...";"...";"..."
"MU";"2503308";"Cachoeira dos Índios (PB)";"651";"-";"-";"320";"-"
"MU";"2503407";"Cacimba de Areia (PB)";"1019";"-";"-";"500";"-"
"MU";"2503506";"Cacimba de Dentro (PB)";"3410";"-";"-";"1200";"-"
"MU";"2503555";"Cacimbas (PB)";"1951";"-";"-";"1000";"-"
"MU";"2503605";"Caiçara (PB)";"337";"-";"-";"100";"-"
"MU";"2503704";"Cajazeiras (PB)";"532";"13";"-";"285";"-"
"MU";"2503753";"Cajazeirinhas (PB)";"366";"-";"-";"170";"-"
"MU";"2503803";"Caldas Brandão (PB)";"730";"-";"-";"150";"-"
"MU";"2503902";"Camalaú (PB)";"555";"-";"-";"300";"-"
"MU";"2504009";"Campina Grande (PB)";"3497";"-";"-";"2000";"-"
"MU";"2504033";"Capim (PB)";"2317";"-";"-";"20";"-"
"MU";"2504074";"Caraúbas (PB)";"666";"-";"-";"310";"-"
"MU";"2504108";"Carrapateira (PB)";"99";"8";"-";"60";"-"
"MU";"2504157";"Casserengue (PB)";"4548";"-";"-";"1700";"-"
"MU";"2504207";"Catingueira (PB)";"838";"10";"-";"400";"-"
"MU";"2504306";"Catolé do Rocha (PB)";"613";"-";"-";"300";"-"
"MU";"2504355";"Caturité (PB)";"822";"-";"-";"450";"-"
"MU";"2504405";"Conceição (PB)";"1943";"20";"-";"850";"-"
"MU";"2504504";"Condado (PB)";"360";"-";"-";"180";"-"
"MU";"2504603";"Conde (PB)";"1576";"-";"-";"-";"-"
"MU";"2504702";"Congo (PB)";"589";"-";"-";"200";"-"
"MU";"2504801";"Coremas (PB)";"2023";"-";"-";"1500";"-"
"MU";"2504850";"Coxixola (PB)";"515";"-";"-";"250";"-"
"MU";"2504900";"Cruz do Espírito Santo (PB)";"6827";"-";"-";"7";"-"
"MU";"2505006";"Cubati (PB)";"1234";"-";"-";"500";"-"
"MU";"2505105";"Cuité (PB)";"2353";"-";"-";"950";"-"
"MU";"2505204";"Cuitegi (PB)";"548";"-";"-";"80";"-"
"MU";"2505238";"Cuité de Mamanguape (PB)";"1680";"-";"-";"80";"-"
"MU";"2505279";"Curral de Cima (PB)";"1687";"-";"-";"7";"-"
"MU";"2505303";"Curral Velho (PB)";"465";"20";"-";"250";"-"
"MU";"2505352";"Damião (PB)";"1771";"-";"-";"1000";"-"
"MU";"2505402";"Desterro (PB)";"1754";"-";"-";"850";"-"
"MU";"2505501";"Vista Serrana (PB)";"272";"-";"-";"160";"-"
"MU";"2505600";"Diamante (PB)";"839";"65";"-";"500";"-"
"MU";"2505709";"Dona Inês (PB)";"2825";"-";"-";"1500";"-"
"MU";"2505808";"Duas Estradas (PB)";"602";"-";"-";"150";"-"
"MU";"2505907";"Emas (PB)";"444";"4";"-";"260";"-"
"MU";"2506004";"Esperança (PB)";"3922";"-";"-";"1310";"-"
"MU";"2506103";"Fagundes (PB)";"1653";"-";"-";"620";"-"
"MU";"2506202";"Frei Martinho (PB)";"574";"-";"-";"280";"-"
"MU";"2506251";"Gado Bravo (PB)";"162";"-";"-";"70";"-"
"MU";"2506301";"Guarabira (PB)";"989";"-";"-";"100";"-"
"MU";"2506400";"Gurinhém (PB)";"1318";"-";"-";"700";"-"
"MU";"2506509";"Gurjão (PB)";"604";"-";"-";"300";"-"
"MU";"2506608";"Ibiara (PB)";"739";"20";"-";"400";"-"
"MU";"2506707";"Imaculada (PB)";"1809";"-";"-";"1000";"-"
"MU";"2506806";"Ingá (PB)";"1130";"-";"-";"600";"-"
"MU";"2506905";"Itabaiana (PB)";"1317";"-";"-";"450";"-"
"MU";"2507002";"Itaporanga (PB)";"1043";"130";"-";"600";"-"
"MU";"2507101";"Itapororoca (PB)";"5790";"-";"-";"60";"-"
"MU";"2507200";"Itatuba (PB)";"2486";"-";"-";"2000";"-"
"MU";"2507309";"Jacaraú (PB)";"3327";"-";"-";"100";"-"
"MU";"2507408";"Jericó (PB)";"329";"-";"-";"182";"-"
"MU";"2507507";"João Pessoa (PB)";"255";"-";"-";"-";"-"
"MU";"2507606";"Juarez Távora (PB)";"874";"-";"-";"500";"-"
"MU";"2507705";"Juazeirinho (PB)";"1080";"-";"-";"500";"-"
"MU";"2507804";"Junco do Seridó (PB)";"1297";"-";"-";"600";"-"
"MU";"2507903";"Juripiranga (PB)";"4238";"-";"-";"60";"-"
"MU";"2508000";"Juru (PB)";"2375";"40";"-";"1500";"-"
"MU";"2508109";"Lagoa (PB)";"234";"-";"-";"160";"-"
"MU";"2508208";"Lagoa de Dentro (PB)";"757";"-";"-";"60";"-"
"MU";"2508307";"Lagoa Seca (PB)";"1965";"-";"-";"180";"-"
"MU";"2508406";"Lastro (PB)";"258";"-";"-";"152";"-"
"MU";"2508505";"Livramento (PB)";"1667";"-";"-";"800";"-"
"MU";"2508554";"Logradouro (PB)";"362";"-";"-";"150";"-"
"MU";"2508604";"Lucena (PB)";"3485";"-";"-";"-";"-"
"MU";"2508703";"Mãe d'Água (PB)";"580";"-";"-";"250";"-"
"MU";"2508802";"Malta (PB)";"294";"-";"-";"200";"-"
"MU";"2508901";"Mamanguape (PB)";"11289";"-";"-";"12";"-"
"MU";"2509008";"Manaíra (PB)";"3809";"-";"-";"2000";"-"
"MU";"2509057";"Marcação (PB)";"3817";"-";"-";"8";"-"
"MU";"2509107";"Mari (PB)";"4842";"-";"-";"10";"-"
"MU";"2509156";"Marizópolis (PB)";"395";"68";"-";"190";"-"
"MU";"2509206";"Massaranduba (PB)";"1897";"-";"-";"250";"-"
"MU";"2509305";"Mataraca (PB)";"4247";"-";"-";"10";"-"
"MU";"2509339";"Matinhas (PB)";"2438";"-";"-";"400";"-"
"MU";"2509370";"Mato Grosso (PB)";"199";"-";"-";"105";"-"
"MU";"2509396";"Maturéia (PB)";"1800";"-";"-";"800";"-"
"MU";"2509404";"Mogeiro (PB)";"2874";"-";"-";"1100";"-"
"MU";"2509503";"Montadas (PB)";"1550";"-";"-";"600";"-"
"MU";"2509602";"Monte Horebe (PB)";"660";"-";"-";"300";"-"
"MU";"2509701";"Monteiro (PB)";"6787";"-";"-";"3600";"-"
"MU";"2509800";"Mulungu (PB)";"2157";"-";"-";"1000";"-"
"MU";"2509909";"Natuba (PB)";"1517";"-";"-";"320";"-"
"MU";"2510006";"Nazarezinho (PB)";"499";"20";"-";"200";"-"
"MU";"2510105";"Nova Floresta (PB)";"574";"-";"-";"180";"-"
"MU";"2510204";"Nova Olinda (PB)";"654";"85";"-";"300";"-"
"MU";"2510303";"Nova Palmeira (PB)";"562";"-";"-";"320";"-"
"MU";"2510402";"Olho d'Água (PB)";"1114";"80";"-";"500";"-"
"MU";"2510501";"Olivedos (PB)";"692";"-";"-";"400";"-"
"MU";"2510600";"Ouro Velho (PB)";"571";"-";"-";"350";"-"
"MU";"2510659";"Parari (PB)";"415";"-";"-";"200";"-"
"MU";"2510709";"Passagem (PB)";"723";"-";"-";"360";"-"
"MU";"2510808";"Patos (PB)";"616";"-";"-";"300";"-"
"MU";"2510907";"Paulista (PB)";"558";"-";"-";"240";"-"
"MU";"2511004";"Pedra Branca (PB)";"447";"120";"-";"180";"-"
"MU";"2511103";"Pedra Lavrada (PB)";"1145";"-";"-";"600";"-"
"MU";"2511202";"Pedras de Fogo (PB)";"22144";"-";"-";"300";"-"
"MU";"2511301";"Piancó (PB)";"1229";"20";"-";"700";"-"
"MU";"2511400";"Picuí (PB)";"1937";"-";"-";"800";"-"
"MU";"2511509";"Pilar (PB)";"795";"-";"-";"100";"-"
"MU";"2511608";"Pilões (PB)";"2903";"-";"-";"200";"-"
"MU";"2511707";"Pilõezinhos (PB)";"976";"-";"-";"150";"-"
"MU";"2511806";"Pirpirituba (PB)";"481";"-";"-";"60";"-"
"MU";"2511905";"Pitimbu (PB)";"4001";"-";"-";"10";"-"
"MU";"2512002";"Pocinhos (PB)";"3647";"-";"-";"250";"-"
"MU";"2512036";"Poço Dantas (PB)";"1049";"-";"-";"600";"-"
"MU";"2512077";"Poço de José de Moura (PB)";"792";"80";"-";"600";"-"
"MU";"2512101";"Pombal (PB)";"347";"-";"-";"150";"-"
"MU";"2512200";"Prata (PB)";"871";"-";"-";"400";"-"
"MU";"2512309";"Princesa Isabel (PB)";"4866";"-";"-";"2500";"-"
"MU";"2512408";"Puxinanã (PB)";"2326";"-";"-";"530";"-"
"MU";"2512507";"Queimadas (PB)";"2656";"-";"-";"1000";"-"
"MU";"2512606";"Quixaba (PB)";"328";"-";"-";"150";"-"
"MU";"2512705";"Remígio (PB)";"1777";"-";"-";"600";"-"
"MU";"2512721";"Pedro Régis (PB)";"641";"-";"-";"15";"-"
"MU";"2512747";"Riachão (PB)";"1354";"-";"-";"650";"-"
"MU";"2512754";"Riachão do Bacamarte (PB)";"484";"-";"-";"200";"-"
"MU";"2512762";"Riachão do Poço (PB)";"442";"-";"-";"30";"-"
"MU";"2512788";"Riacho de Santo Antônio (PB)";"188";"-";"-";"150";"-"
"MU";"2512804";"Riacho dos Cavalos (PB)";"1007";"-";"-";"650";"-"
"MU";"2512903";"Rio Tinto (PB)";"10205";"-";"-";"-";"-"
"MU";"2513000";"Salgadinho (PB)";"245";"-";"-";"110";"-"
"MU";"2513109";"Salgado de São Félix (PB)";"441";"-";"-";"200";"-"
"MU";"2513158";"Santa Cecília (PB)";"491";"-";"-";"300";"-"
"MU";"2513208";"Santa Cruz (PB)";"353";"-";"-";"180";"-"
"MU";"2513307";"Santa Helena (PB)";"1515";"-";"-";"946";"-"
"MU";"2513356";"Santa Inês (PB)";"452";"10";"-";"220";"-"
"MU";"2513406";"Santa Luzia (PB)";"726";"-";"-";"350";"-"
"MU";"2513505";"Santana de Mangueira (PB)";"1098";"20";"-";"650";"-"
"MU";"2513604";"Santana dos Garrotes (PB)";"1307";"350";"-";"550";"-"
"MU";"2513653";"Joca Claudino (PB)";"200";"-";"-";"120";"-"
"MU";"2513703";"Santa Rita (PB)";"17807";"-";"-";"-";"-"
"MU";"2513802";"Santa Teresinha (PB)";"723";"-";"-";"380";"-"
"MU";"2513851";"Santo André (PB)";"734";"-";"-";"400";"-"
"MU";"2513901";"São Bento (PB)";"398";"-";"-";"160";"-"
"MU";"2513927";"São Bentinho (PB)";"326";"3";"-";"210";"-"
"MU";"2513943";"São Domingos do Cariri (PB)";"464";"-";"-";"220";"-"
"MU";"2513968";"São Domingos (PB)";"234";"-";"-";"160";"-"
"MU";"2513984";"São Francisco (PB)";"249";"-";"-";"170";"-"
"MU";"2514008";"São João do Cariri (PB)";"1200";"-";"-";"600";"-"
"MU";"2514107";"São João do Tigre (PB)";"823";"-";"-";"400";"-"
"MU";"2514206";"São José da Lagoa Tapada (PB)";"576";"8";"-";"277";"-"
"MU";"2514305";"São José de Caiana (PB)";"762";"10";"-";"400";"-"
"MU";"2514404";"São José de Espinharas (PB)";"1057";"1";"-";"500";"-"
"MU";"2514453";"São José dos Ramos (PB)";"927";"-";"-";"300";"-"
"MU";"2514503";"São José de Piranhas (PB)";"979";"22";"-";"625";"-"
"MU";"2514552";"São José de Princesa (PB)";"2702";"-";"-";"1500";"-"
"MU";"2514602";"São José do Bonfim (PB)";"583";"-";"-";"276";"-"
"MU";"2514651";"São José do Brejo do Cruz (PB)";"203";"-";"-";"100";"-"
"MU";"2514701";"São José do Sabugi (PB)";"616";"-";"-";"300";"-"
"MU";"2514800";"São José dos Cordeiros (PB)";"914";"-";"-";"450";"-"
"MU";"2514909";"São Mamede (PB)";"824";"-";"-";"400";"-"
"MU";"2515005";"São Miguel de Taipu (PB)";"1106";"-";"-";"100";"-"
"MU";"2515104";"São Sebastião de Lagoa de Roça (PB)";"990";"-";"-";"80";"-"
"MU";"2515203";"São Sebastião do Umbuzeiro (PB)";"702";"-";"-";"380";"-"
"MU";"2515302";"Sapé (PB)";"10982";"-";"-";"10";"-"
"MU";"2515401";"São Vicente do Seridó (PB)";"680";"-";"-";"420";"-"
"MU";"2515500";"Serra Branca (PB)";"1232";"-";"-";"600";"-"
"MU";"2515609";"Serra da Raiz (PB)";"374";"-";"-";"50";"-"
"MU";"2515708";"Serra Grande (PB)";"496";"10";"-";"250";"-"
"MU";"2515807";"Serra Redonda (PB)";"609";"-";"-";"210";"-"
"MU";"2515906";"Serraria (PB)";"1303";"-";"-";"150";"-"
"MU";"2515930";"Sertãozinho (PB)";"587";"-";"-";"40";"-"
"MU";"2515971";"Sobrado (PB)";"568";"-";"-";"15";"-"
"MU";"2516003";"Solânea (PB)";"1687";"-";"-";"700";"-"
"MU";"2516102";"Soledade (PB)";"1299";"-";"-";"600";"-"
"MU";"2516151";"Sossêgo (PB)";"358";"-";"-";"170";"-"
"MU";"2516201";"Sousa (PB)";"3117";"624";"-";"1170";"-"
"MU";"2516300";"Sumé (PB)";"1695";"-";"-";"800";"-"
"MU";"2516409";"Tacima (PB)";"2503";"-";"-";"1500";"-"
"MU";"2516508";"Taperoá (PB)";"1824";"-";"-";"900";"-"
"MU";"2516607";"Tavares (PB)";"3776";"15";"-";"2500";"-"
"MU";"2516706";"Teixeira (PB)";"2413";"-";"-";"1100";"-"
"MU";"2516755";"Tenório (PB)";"678";"-";"-";"300";"-"
"MU";"2516805";"Triunfo (PB)";"396";"15";"-";"210";"-"
"MU";"2516904";"Uiraúna (PB)";"1192";"-";"-";"750";"-"
"MU";"2517001";"Umbuzeiro (PB)";"1340";"-";"-";"350";"-"
"MU";"2517100";"Várzea (PB)";"803";"-";"-";"400";"-"
"MU";"2517209";"Vieirópolis (PB)";"488";"-";"-";"245";"-"
"MU";"2517407";"Zabelê (PB)";"422";"-";"-";"200";"-"
"MU";"2600054";"Abreu e Lima (PE)";"1775";"-";"-";"-";"-"
"MU";"2600104";"Afogados da Ingazeira (PE)";"4546";"-";"-";"2125";"-"
"MU";"2600203";"Afrânio (PE)";"7200";"-";"-";"4200";"-"
"MU";"2600302";"Agrestina (PE)";"1100";"-";"-";"500";"-"
"MU";"2600401";"Água Preta (PE)";"5017";"-";"-";"-";"-"
"MU";"2600500";"Águas Belas (PE)";"1706";"-";"-";"21";"-"
"MU";"2600609";"Alagoinha (PE)";"170";"-";"-";"30";"-"
"MU";"2600708";"Aliança (PE)";"10132";"-";"-";"10";"-"
"MU";"2600807";"Altinho (PE)";"1068";"-";"-";"400";"-"
"MU";"2600906";"Amaraji (PE)";"6486";"-";"-";"-";"-"
"MU";"2601003";"Angelim (PE)";"1001";"-";"-";"150";"-"
"MU";"2601052";"Araçoiaba (PE)";"4089";"-";"-";"-";"-"
"MU";"2601102";"Araripina (PE)";"30268";"-";"-";"14000";"-"
"MU";"2601201";"Arcoverde (PE)";"875";"-";"-";"300";"-"
"MU";"2601300";"Barra de Guabiraba (PE)";"1637";"-";"-";"-";"-"
"MU";"2601409";"Barreiros (PE)";"3425";"-";"-";"-";"-"
"MU";"2601508";"Belém de Maria (PE)";"961";"-";"-";"-";"-"
"MU";"2601607";"Belém do São Francisco (PE)";"10948";"-";"-";"440";"-"
"MU";"2601706";"Belo Jardim (PE)";"1240";"-";"-";"300";"-"
"MU";"2601805";"Betânia (PE)";"4060";"-";"-";"2000";"-"
"MU";"2601904";"Bezerros (PE)";"2410";"-";"-";"630";"-"
"MU";"2602001";"Bodocó (PE)";"11650";"-";"-";"5600";"-"
"MU";"2602100";"Bom Conselho (PE)";"4203";"-";"-";"1500";"-"
"MU";"2602209";"Bom Jardim (PE)";"4950";"-";"-";"1100";"-"
