"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"2024"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Total";"Arroz (em casca)";"Maçã";"Milho (em grão)";"Soja (em grão)"
"MU";"1101492";"São Francisco do Guaporé (RO)";"17557";"1000";"-";"5960";"9461"
"MU";"1101500";"Seringueiras (RO)";"10393";"850";"-";"3280";"4562"
"MU";"1101559";"Teixeirópolis (RO)";"180";"-";"-";"5";"-"
"MU";"1101609";"Theobroma (RO)";"4378";"20";"-";"1343";"1900"
"MU";"1101708";"Urupá (RO)";"404";"-";"-";"120";"-"
"MU";"1101757";"Vale do Anari (RO)";"7027";"695";"-";"2277";"3568"
"MU";"1101807";"Vale do Paraíso (RO)";"302";"-";"-";"10";"-"
"MU";"1200013";"Acrelândia (AC)";"3849";"80";"-";"1100";"25"
"MU";"1200054";"Assis Brasil (AC)";"1709";"210";"-";"585";"-"
"MU";"1200104";"Brasiléia (AC)";"3793";"350";"-";"1980";"-"
"MU";"1200138";"Bujari (AC)";"2775";"80";"-";"1300";"-"
"MU";"1200179";"Capixaba (AC)";"7938";"150";"-";"3300";"3200"
"MU";"1200203";"Cruzeiro do Sul (AC)";"4633";"250";"-";"710";"273"
"MU";"1200252";"Epitaciolândia (AC)";"3697";"180";"-";"1900";"300"
"MU";"1200302";"Feijó (AC)";"6084";"240";"-";"2800";"-"
"MU";"1200328";"Jordão (AC)";"1221";"44";"-";"480";"-"
"MU";"1200336";"Mâncio Lima (AC)";"3100";"120";"-";"450";"-"
"MU";"1200344";"Manoel Urbano (AC)";"1747";"80";"-";"650";"-"
"MU";"1200351";"Marechal Thaumaturgo (AC)";"3068";"160";"-";"500";"-"
"MU";"1200385";"Plácido de Castro (AC)";"11571";"30";"-";"4100";"6200"
"MU";"1200393";"Porto Walter (AC)";"1412";"65";"-";"200";"-"
"MU";"1200401";"Rio Branco (AC)";"7429";"130";"-";"3500";"1660"
"MU";"1200427";"Rodrigues Alves (AC)";"3045";"260";"-";"450";"-"
"MU";"1200435";"Santa Rosa do Purus (AC)";"913";"35";"-";"300";"-"
"MU";"1200450";"Senador Guiomard (AC)";"9222";"65";"-";"4600";"2950"
"MU";"1200500";"Sena Madureira (AC)";"4908";"280";"-";"1900";"-"
"MU";"1200609";"Tarauacá (AC)";"6014";"295";"-";"2400";"-"
"MU";"1200708";"Xapuri (AC)";"6146";"520";"-";"2520";"1600"
"MU";"1200807";"Porto Acre (AC)";"5022";"125";"-";"1900";"1370"
"MU";"1300029";"Alvarães (AM)";"1051";"-";"-";"10";"-"
"MU";"1300060";"Amaturá (AM)";"816";"-";"-";"-";"-"
"MU";"1300086";"Anamã (AM)";"404";"-";"-";"45";"-"
"MU";"1300102";"Anori (AM)";"620";"-";"-";"-";"-"
"MU";"1300144";"Apuí (AM)";"2404";"-";"-";"700";"-"
"MU";"1300201";"Atalaia do Norte (AM)";"493";"2";"-";"-";"-"
"MU";"1300300";"Autazes (AM)";"4733";"-";"-";"20";"-"
"MU";"1300409";"Barcelos (AM)";"204";"-";"-";"-";"-"
"MU";"1300508";"Barreirinha (AM)";"177";"-";"-";"2";"-"
"MU";"1300607";"Benjamin Constant (AM)";"1034";"30";"-";"-";"-"
"MU";"1300631";"Beruri (AM)";"427";"-";"-";"-";"-"
"MU";"1300680";"Boa Vista do Ramos (AM)";"565";"4";"-";"2";"-"
"MU";"1300706";"Boca do Acre (AM)";"3634";"80";"-";"800";"1100"
"MU";"1300805";"Borba (AM)";"3361";"-";"-";"15";"-"
"MU";"1300839";"Caapiranga (AM)";"407";"-";"-";"5";"-"
"MU";"1300904";"Canutama (AM)";"4887";"850";"-";"800";"2057"
"MU";"1301001";"Carauari (AM)";"1301";"8";"-";"9";"-"
"MU";"1301100";"Careiro (AM)";"1290";"-";"-";"7";"-"
"MU";"1301159";"Careiro da Várzea (AM)";"413";"-";"-";"10";"-"
"MU";"1301209";"Coari (AM)";"3470";"-";"-";"45";"-"
"MU";"1301308";"Codajás (AM)";"3747";"-";"-";"-";"-"
"MU";"1301407";"Eirunepé (AM)";"1906";"10";"-";"75";"-"
"MU";"1301506";"Envira (AM)";"1991";"176";"-";"520";"-"
"MU";"1301605";"Fonte Boa (AM)";"331";"-";"-";"-";"-"
"MU";"1301654";"Guajará (AM)";"449";"6";"-";"31";"65"
"MU";"1301704";"Humaitá (AM)";"28120";"4682";"-";"2500";"17000"
"MU";"1301803";"Ipixuna (AM)";"340";"35";"-";"40";"-"
"MU";"1301852";"Iranduba (AM)";"2923";"-";"-";"-";"-"
"MU";"1301902";"Itacoatiara (AM)";"5447";"-";"-";"8";"-"
"MU";"1301951";"Itamarati (AM)";"457";"-";"-";"40";"-"
"MU";"1302009";"Itapiranga (AM)";"455";"-";"-";"-";"-"
"MU";"1302108";"Japurá (AM)";"213";"-";"-";"-";"-"
"MU";"1302207";"Juruá (AM)";"157";"-";"-";"13";"-"
"MU";"1302306";"Jutaí (AM)";"515";"-";"-";"-";"-"
"MU";"1302405";"Lábrea (AM)";"7915";"200";"-";"115";"4250"
"MU";"1302504";"Manacapuru (AM)";"14034";"-";"-";"40";"-"
"MU";"1302553";"Manaquiri (AM)";"2283";"-";"-";"-";"-"
"MU";"1302603";"Manaus (AM)";"664";"-";"-";"-";"-"
"MU";"1302702";"Manicoré (AM)";"11135";"-";"-";"-";"-"
"MU";"1302801";"Maraã (AM)";"90";"-";"-";"-";"-"
"MU";"1302900";"Maués (AM)";"2760";"-";"-";"3";"-"
"MU";"1303007";"Nhamundá (AM)";"671";"-";"-";"13";"-"
"MU";"1303106";"Nova Olinda do Norte (AM)";"1827";"-";"-";"-";"-"
"MU";"1303205";"Novo Airão (AM)";"464";"-";"-";"-";"-"
"MU";"1303304";"Novo Aripuanã (AM)";"2330";"-";"-";"30";"-"
"MU";"1303403";"Parintins (AM)";"3321";"-";"-";"3";"-"
"MU";"1303502";"Pauini (AM)";"1517";"5";"-";"94";"-"
"MU";"1303536";"Presidente Figueiredo (AM)";"7165";"-";"-";"-";"-"
"MU";"1303569";"Rio Preto da Eva (AM)";"2393";"-";"-";"-";"-"
"MU";"1303601";"Santa Isabel do Rio Negro (AM)";"225";"-";"-";"-";"-"
"MU";"1303700";"Santo Antônio do Içá (AM)";"645";"-";"-";"-";"-"
"MU";"1303809";"São Gabriel da Cachoeira (AM)";"1384";"-";"-";"5";"-"
"MU";"1303908";"São Paulo de Olivença (AM)";"703";"13";"-";"-";"-"
"MU";"1303957";"São Sebastião do Uatumã (AM)";"597";"-";"-";"44";"-"
"MU";"1304005";"Silves (AM)";"322";"-";"-";"-";"-"
"MU";"1304062";"Tabatinga (AM)";"280";"-";"-";"-";"-"
"MU";"1304104";"Tapauá (AM)";"3036";"-";"-";"31";"-"
"MU";"1304203";"Tefé (AM)";"10387";"-";"-";"30";"-"
"MU";"1304237";"Tonantins (AM)";"380";"-";"-";"1";"-"
"MU";"1304260";"Uarini (AM)";"1209";"-";"-";"-";"-"
"MU";"1304302";"Urucará (AM)";"1163";"-";"-";"21";"-"
"MU";"1304401";"Urucurituba (AM)";"405";"-";"-";"20";"-"
"MU";"1400027";"Amajari (RR)";"3535";"950";"-";"771";"1310"
"MU";"1400050";"Alto Alegre (RR)";"43043";"-";"-";"4338";"36838"
"MU";"1400100";"Boa Vista (RR)";"26585";"-";"-";"2500";"23000"
"MU";"1400159";"Bonfim (RR)";"55995";"5500";"-";"4207";"42723"
"MU";"1400175";"Cantá (RR)";"6800";"850";"-";"1460";"3205"
"MU";"1400209";"Caracaraí (RR)";"1945";"-";"-";"145";"685"
"MU";"1400233";"Caroebe (RR)";"3544";"-";"-";"96";"-"
"MU";"1400282";"Iracema (RR)";"4463";"-";"-";"700";"3620"
"MU";"1400308";"Mucajaí (RR)";"8018";"-";"-";"1600";"5514"
"MU";"1400407";"Normandia (RR)";"4626";"3000";"-";"500";"-"
"MU";"1400456";"Pacaraima (RR)";"904";"-";"-";"120";"-"
"MU";"1400472";"Rorainópolis (RR)";"3416";"-";"-";"257";"-"
"MU";"1400506";"São João da Baliza (RR)";"4600";"-";"-";"1250";"320"
"MU";"1400605";"São Luiz (RR)";"1107";"-";"-";"14";"-"
"MU";"1400704";"Uiramutã (RR)";"784";"-";"-";"200";"-"
"MU";"1500107";"Abaetetuba (PA)";"28075";"60";"-";"90";"-"
"MU";"1500131";"Abel Figueiredo (PA)";"6405";"-";"-";"2000";"4321"
"MU";"1500206";"Acará (PA)";"54932";"50";"-";"50";"-"
"MU";"1500305";"Afuá (PA)";"150";"-";"-";"-";"-"
"MU";"1500347";"Água Azul do Norte (PA)";"6943";"-";"-";"5410";"1100"
"MU";"1500404";"Alenquer (PA)";"16385";"30";"-";"2000";"-"
"MU";"1500503";"Almeirim (PA)";"787";"-";"-";"95";"-"
"MU";"1500602";"Altamira (PA)";"36264";"3150";"-";"10500";"14000"
"MU";"1500701";"Anajás (PA)";"12667";"-";"-";"-";"-"
"MU";"1500800";"Ananindeua (PA)";"38";"-";"-";"-";"-"
"MU";"1500859";"Anapu (PA)";"13555";"110";"-";"1000";"-"
"MU";"1500909";"Augusto Corrêa (PA)";"2925";"30";"-";"60";"-"
"MU";"1500958";"Aurora do Pará (PA)";"7978";"35";"-";"850";"-"
"MU";"1501006";"Aveiro (PA)";"1877";"30";"-";"80";"-"
